id,user,local,device,day,hour,type,model,value
"5a147df837a0a30484f95028","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:45","corrente","sct-013","0.41"
"5a147dff37a0a30484f95029","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:50","corrente","sct-013","0.33"
"5a147e0437a0a30484f9502a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:36:58","corrente","sct-013","0.32"
"5a147e0e37a0a30484f9502b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:03","corrente","sct-013","0.47"
"5a147e1337a0a30484f9502c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:12","corrente","sct-013","0.37"
"5a147e1837a0a30484f9502d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:17","corrente","sct-013","0.54"
"5a147e1d37a0a30484f9502e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:22","corrente","sct-013","0.42"
"5a147e2237a0a30484f9502f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:28","corrente","sct-013","0.36"
"5a147e2837a0a30484f95030","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:33","corrente","sct-013","0.49"
"5a147e2d37a0a30484f95031","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:38","corrente","sct-013","0.53"
"5a147e3237a0a30484f95032","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:43","corrente","sct-013","0.39"
"5a147e3737a0a30484f95033","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:48","corrente","sct-013","0.42"
"5a147e3c37a0a30484f95034","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:53","corrente","sct-013","0.6"
"5a147e4237a0a30484f95035","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:37:59","corrente","sct-013","0.59"
"5a147e4737a0a30484f95036","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:04","corrente","sct-013","0.49"
"5a147e4c37a0a30484f95037","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:09","corrente","sct-013","0.39"
"5a147e5137a0a30484f95038","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:14","corrente","sct-013","0.58"
"5a147e5c37a0a30484f95039","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:19","corrente","sct-013","0.6"
"5a147e6137a0a30484f9503a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:30","corrente","sct-013","0.33"
"5a147e6637a0a30484f9503b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:35","corrente","sct-013","0.42"
"5a147e7137a0a30484f9503c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:41","corrente","sct-013","0.42"
"5a147e7637a0a30484f9503d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:52","corrente","sct-013","0.56"
"5a147e7c37a0a30484f9503e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:38:57","corrente","sct-013","0.42"
"5a147e8137a0a30484f9503f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:02","corrente","sct-013","0.45"
"5a147e8637a0a30484f95040","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:07","corrente","sct-013","0.36"
"5a147e8b37a0a30484f95041","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:12","corrente","sct-013","0.48"
"5a147e9137a0a30484f95042","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:17","corrente","sct-013","0.3"
"5a147e9637a0a30484f95043","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:23","corrente","sct-013","0.47"
"5a147e9b37a0a30484f95044","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:29","corrente","sct-013","0.58"
"5a147ea037a0a30484f95045","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:34","corrente","sct-013","0.42"
"5a147ea637a0a30484f95046","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:39","corrente","sct-013","0.39"
"5a147eab37a0a30484f95047","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:44","corrente","sct-013","0.52"
"5a147eb037a0a30484f95048","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:49","corrente","sct-013","0.4"
"5a147eb537a0a30484f95049","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:54","corrente","sct-013","0.49"
"5a147eba37a0a30484f9504a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:39:59","corrente","sct-013","0.48"
"5a147ebf37a0a30484f9504b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:04","corrente","sct-013","0.42"
"5a147ed937a0a30484f9504e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:30","corrente","sct-013","0.44"
"5a147ede37a0a30484f9504f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:35","corrente","sct-013","0.55"
"5a147ee337a0a30484f95050","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:40","corrente","sct-013","0.57"
"5a147ee837a0a30484f95051","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:45","corrente","sct-013","0.44"
"5a147eed37a0a30484f95052","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:51","corrente","sct-013","0.3"
"5a147ef337a0a30484f95053","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:40:56","corrente","sct-013","0.42"
"5a147ef837a0a30484f95054","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:01","corrente","sct-013","0.4"
"5a147efd37a0a30484f95055","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:06","corrente","sct-013","0.38"
"5a147f0237a0a30484f95056","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:11","corrente","sct-013","0.55"
"5a147f0737a0a30484f95057","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:16","corrente","sct-013","0.33"
"5a147f0c37a0a30484f95058","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:22","corrente","sct-013","0.52"
"5a147f1237a0a30484f95059","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:27","corrente","sct-013","0.58"
"5a147f1737a0a30484f9505a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:32","corrente","sct-013","0.52"
"5a147f1c37a0a30484f9505b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:37","corrente","sct-013","0.31"
"5a147f2137a0a30484f9505c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:42","corrente","sct-013","0.55"
"5a147f2637a0a30484f9505d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:47","corrente","sct-013","0.55"
"5a147f2b37a0a30484f9505e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:52","corrente","sct-013","0.59"
"5a147f3037a0a30484f9505f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:41:57","corrente","sct-013","0.32"
"5a147f3537a0a30484f95060","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:02","corrente","sct-013","0.47"
"5a147f3a37a0a30484f95061","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:08","corrente","sct-013","0.5"
"5a147f4037a0a30484f95062","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:13","corrente","sct-013","0.38"
"5a147f4537a0a30484f95063","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:18","corrente","sct-013","0.45"
"5a147f4a37a0a30484f95064","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:23","corrente","sct-013","0.4"
"5a147f4f37a0a30484f95065","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:28","corrente","sct-013","0.36"
"5a147f5437a0a30484f95066","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:33","corrente","sct-013","0.37"
"5a147f5937a0a30484f95067","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:38","corrente","sct-013","0.46"
"5a147f5e37a0a30484f95068","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:43","corrente","sct-013","0.33"
"5a147f6337a0a30484f95069","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:49","corrente","sct-013","0.57"
"5a147f6837a0a30484f9506a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:54","corrente","sct-013","0.56"
"5a147f6e37a0a30484f9506b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:42:59","corrente","sct-013","0.44"
"5a147f7337a0a30484f9506c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:04","corrente","sct-013","0.5"
"5a147f7837a0a30484f9506d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:09","corrente","sct-013","0.59"
"5a147f7d37a0a30484f9506e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:14","corrente","sct-013","0.51"
"5a147f8237a0a30484f9506f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:19","corrente","sct-013","0.43"
"5a147f8737a0a30484f95070","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:24","corrente","sct-013","0.47"
"5a147f8c37a0a30484f95071","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:29","corrente","sct-013","0.33"
"5a147f9137a0a30484f95072","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:35","corrente","sct-013","0.35"
"5a147f9737a0a30484f95073","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:40","corrente","sct-013","0.47"
"5a147f9c37a0a30484f95074","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:45","corrente","sct-013","0.42"
"5a147fab37a0a30484f95077","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:00","corrente","sct-013","0.31"
"5a147fb037a0a30484f95078","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:05","corrente","sct-013","0.35"
"5a147fb537a0a30484f95079","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:10","corrente","sct-013","0.56"
"5a147fba37a0a30484f9507a","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:16","corrente","sct-013","0.37"
"5a147fa137a0a30484f95075","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:50","corrente","sct-013","0.6"
"5a147fc037a0a30484f9507b","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:21","corrente","sct-013","0.46"
"5a147fc537a0a30484f9507c","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:26","corrente","sct-013","0.53"
"5a147fa637a0a30484f95076","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:43:55","corrente","sct-013","0.44"
"5a147fca37a0a30484f9507d","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:31","corrente","sct-013","0.37"
"5a147fcf37a0a30484f9507e","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:36","corrente","sct-013","0.33"
"5a147fd437a0a30484f9507f","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:41","corrente","sct-013","0.49"
"5a147fd937a0a30484f95080","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:47","corrente","sct-013","0.53"
"5a147fdf37a0a30484f95081","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:52","corrente","sct-013","0.49"
"5a147fe437a0a30484f95082","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:44:57","corrente","sct-013","0.41"
"5a147fe937a0a30484f95083","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:45:02","corrente","sct-013","0.55"
"5a147fee37a0a30484f95084","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:45:07","corrente","sct-013","0.45"
"5a147ff337a0a30484f95085","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:45:12","corrente","sct-013","0.36"
"5a147ff837a0a30484f95086","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:45:17","corrente","sct-013","0.33"
"5a147ffd37a0a30484f95087","corrente-01","yasminbraga","labic","raspberry pi","2017-10-26","23:45:22","corrente","sct-013","0.57"
